Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,table_1_flag,Geocoded_City1,Geocoded_City2
2018,4,"30,194",30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,"4,060.217391",232.5115998,AA,0.516089308,263.7402376,WN,0.335599936,191.9313896,-1,,
2018,4,"30,194",31123,"Dallas/Fort Worth, TX","St. Louis, MO",550,"1,208.478261",203.3465911,WN,0.537506746,189.5423862,WN,0.537506746,189.5423862,-1,,
2018,4,"30,194",31136,"Dallas/Fort Worth, TX","Jacksonville, FL",918,503.2608696,275.382851,AA,0.764794816,280.7506072,WN,0.128941685,229.5738693,-1,,
2018,4,"30,194",31295,"Dallas/Fort Worth, TX","Detroit, MI",986,"1,469.782609",213.6931889,AA,0.447123207,222.400612,WN,0.143395947,168.1963899,-1,,
2018,4,"30,194",31423,"Dallas/Fort Worth, TX","Des Moines, IA",624,206.3043478,264.4454689,AA,0.85194942,270.4801484,WN,0.076923077,208.3013699,-1,,
2018,4,"30,194",31453,"Dallas/Fort Worth, TX","Houston, TX",247,"2,569.23913",198.0998985,WN,0.591953294,191.8286164,WN,0.591953294,191.8286164,-1,,
2018,4,"30,194",31454,"Dallas/Fort Worth, TX","Orlando, FL",985,"2,213.369565",216.0164956,AA,0.556548642,242.0182829,NK,0.13220056,104.8604755,-1,,
2018,4,"30,194",31650,"Dallas/Fort Worth, TX","Minneapolis/St. Paul, MN",853,"1,374.782609",208.8591082,AA,0.550917141,205.5097876,AA,0.550917141,205.5097876,-1,,
2018,4,"30,194",31703,"Dallas/Fort Worth, TX","New York City, NY (Metropolitan Area)",1428,"6,088.695652",254.3956048,AA,0.550646244,264.9607132,WN,0.125374893,200.9960131,-1,,
2018,4,"30,194",31714,"Dallas/Fort Worth, TX","Fort Myers, FL",1017,315.8695652,264.186201,AA,0.763936683,281.7441441,SY,0.116655196,121.3843658,-1,,
2018,4,"30,194",31834,"Dallas/Fort Worth, TX","Fayetteville, AR",280,217.173913,268.4666166,AA,0.993493493,268.8057935,AA,0.993493493,268.8057935,-1,,
2018,4,"30,194",31871,"Dallas/Fort Worth, TX","Greenville/Spartanburg, SC",862,242.3913043,282.3352466,AA,0.722421525,287.8540658,WN,0.131390135,237.868942,-1,,
2018,4,"30,194",31986,"Dallas/Fort Worth, TX","Grand Rapids, MI",931,225.8695652,289.0794033,AA,0.691049086,296.4187326,AA,0.691049086,296.4187326,-1,,
2018,4,"30,194",32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,"2,758.695652",197.4181087,AA,0.440031521,251.6517908,NK,0.153546099,109.5411342,-1,,
2018,4,"30,194",32337,"Dallas/Fort Worth, TX","Indianapolis, IN",761,724.8913043,247.3410856,AA,0.65677013,261.3756621,WN,0.285350127,204.7840252,-1,,
2018,4,"30,194",32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,"3,480.76087",225.5254473,AA,0.463073416,254.6275204,AS,0.144489898,184.2455587,-1,,
2018,4,"30,194",32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,"2,049.565217",254.1380144,AA,0.701845566,280.7184525,NK,0.103415359,125.6425128,-1,,
2018,4,"30,194",32575,"Dallas/Fort Worth, TX","Los Angeles, CA (Metropolitan Area)",1246,"6,385.76087",208.9117142,AA,0.556775434,237.5363008,WN,0.205212004,186.5933892,-1,,
2018,4,"30,194",32600,"Dallas/Fort Worth, TX","Little Rock, AR",304,344.673913,180.0573951,AA,0.609586881,193.8092085,WN,0.385998108,157.5902778,-1,,
2018,4,"30,194",32896,"Dallas/Fort Worth, TX","Lubbock, TX",293,426.5217391,192.6996942,WN,0.646788991,174.9527187,WN,0.646788991,174.9527187,-1,,
2018,4,"30,194",33044,"Dallas/Fort Worth, TX","Louisville, KY",733,327.0652174,272.3103357,AA,0.699235626,306.8517586,WN,0.145895646,172.5501139,-1,,
2018,4,"30,194",33158,"Dallas/Fort Worth, TX","Midland/Odessa, TX",319,426.9565217,227.4416242,WN,0.720213849,210.8113114,WN,0.720213849,210.8113114,-1,,
2018,4,"30,194",33192,"Dallas/Fort Worth, TX","Sacramento, CA",1442,600.6521739,270.9466703,AA,0.638074557,279.8389109,WN,0.318856316,246.3024404,-1,,
2018,4,"30,194",33195,"Dallas/Fort Worth, TX","Tampa, FL (Metropolitan Area)",929,"1,249.891304",208.8329072,AA,0.557439777,236.8757566,WN,0.282894165,197.5071011,-1,,
2018,4,"30,194",33198,"Dallas/Fort Worth, TX","Kansas City, MO",461,"1,241.956522",168.0798705,WN,0.538946263,164.5038324,WN,0.538946263,164.5038324,-1,,
2018,4,"30,194",33214,"Dallas/Fort Worth, TX","San Antonio, TX",247,"1,269.021739",189.5897131,WN,0.614817987,178.6154361,WN,0.614817987,178.6154361,-1,,
2018,4,"30,194",33244,"Dallas/Fort Worth, TX","Memphis, TN",431,571.4130435,191.5407457,AA,0.760700019,201.0502376,WN,0.222940841,154.803157,-1,,
2018,4,"30,194",33256,"Dallas/Fort Worth, TX","Mission/McAllen/Edinburg, TX",469,204.2391304,265.4503991,AA,0.977647685,265.4532934,UA,0.016498137,260.9064516,-1,,
2018,4,"30,194",33316,"Dallas/Fort Worth, TX","Omaha, NE",586,461.9565217,213.2631529,AA,0.619529412,237.4122294,WN,0.344941176,167.1002729,-1,,
2018,4,"30,194",33342,"Dallas/Fort Worth, TX","Milwaukee, WI",853,522.6086957,222.3632696,AA,0.738144759,227.7441251,WN,0.173460899,179.5233813,-1,,
2018,4,"30,194",33495,"Dallas/Fort Worth, TX","New Orleans, LA",447,"1,358.804348",180.8841693,WN,0.567714583,171.9313935,WN,0.567714583,171.9313935,-1,,
2018,4,"30,194",33570,"Dallas/Fort Worth, TX","San Diego, CA",1182,"1,620.543478",213.0941176,AA,0.543966732,237.1550185,WN,0.359581461,185.772673,-1,,
2018,4,"30,194",33667,"Dallas/Fort Worth, TX","Norfolk, VA (Metropolitan Area)",1212,323.8043478,286.1550856,AA,0.730782142,298.5268259,DL,0.105068815,274.313738,-1,,
2018,4,"30,194",33851,"Dallas/Fort Worth, TX","Oklahoma City, OK",181,242.9347826,178.8028635,AA,0.599105145,200.9843913,WN,0.400894855,145.6543527,-1,,
2018,4,"30,194",34027,"Dallas/Fort Worth, TX","West Palm Beach/Palm Beach, FL",1102,229.673913,316.0774255,AA,0.858495031,311.9223264,AA,0.858495031,311.9223264,-1,,
2018,4,"30,194",34057,"Dallas/Fort Worth, TX","Portland, OR",1626,864.2391304,220.4190291,AS,0.392277701,187.5081436,AS,0.392277701,187.5081436,-1,,
2018,4,"30,194",34100,"Dallas/Fort Worth, TX","Philadelphia, PA",1303,"1,702.173913",257.6707024,AA,0.78403576,279.9908454,WN,0.104086845,212.4668712,-1,,
2018,4,"30,194",34492,"Dallas/Fort Worth, TX","Raleigh/Durham, NC",1061,894.5652174,255.4966221,AA,0.658201701,275.3953295,WN,0.261360875,203.6365411,-1,,
2018,4,"30,194",34524,"Dallas/Fort Worth, TX","Richmond, VA",1158,344.7826087,320.9513871,AA,0.715636822,345.5285903,WN,0.104665826,238.4304217,-1,,
2018,4,"30,194",34570,"Dallas/Fort Worth, TX","Reno, NV",1356,219.5652174,291.3479208,AA,0.692079208,310.1962089,WN,0.23960396,244.4188017,-1,,
2018,4,"30,194",34614,"Dallas/Fort Worth, TX","Salt Lake City, UT",999,"1,066.847826",217.3760265,AA,0.511869587,222.1852508,WN,0.133367295,206.7878533,-1,,
2018,4,"30,194",34653,"Dallas/Fort Worth, TX","Tulsa, OK",238,407.0652174,162.2788785,AA,0.563684913,175.392468,WN,0.42670227,144.8963705,-1,,
2018,4,"30,198",30852,"Pittsburgh, PA","Washington, DC (Metropolitan Area)",210,413.5869565,196.4684888,AA,0.457030223,212.0225417,WN,0.299868594,169.6148992,-1,,
2018,4,"30,198",31123,"Pittsburgh, PA","St. Louis, MO",554,233.6956522,193.6434419,WN,0.737209302,175.8332492,WN,0.737209302,175.8332492,-1,,
2018,4,"30,198",32457,"Pittsburgh, PA","San Francisco, CA (Metropolitan Area)",2254,585,331.4087142,UA,0.535860275,357.1412968,WN,0.188963211,277.2435595,-1,,
2018,4,"30,198",33195,"Pittsburgh, PA","Tampa, FL (Metropolitan Area)",878,713.6956522,155.4210783,WN,0.643314042,164.4902936,G4,0.130063966,94.64391101,-1,,
2018,4,"30,198",33570,"Pittsburgh, PA","San Diego, CA",2106,255.8695652,243.4018692,WN,0.294392523,257.1272727,F9,0.177994902,101.8389021,-1,,
2018,4,"30,255",30852,"Huntsville, AL","Washington, DC (Metropolitan Area)",641,375.5434783,313.5778292,AA,0.677568741,317.14827,UA,0.140086831,298.4053719,-1,,
2018,4,"30,257",30325,"Albany, NY","Denver, CO",1610,233.0434783,233.4102612,WN,0.60494403,240.1782575,F9,0.108675373,84.47124464,-1,,
2018,4,"30,257",30397,"Albany, NY","Atlanta, GA (Metropolitan Area)",853,267.9347826,242.1343205,DL,0.810953347,244.9674337,WN,0.090466531,224.6313901,-1,,
2018,4,"30,257",30852,"Albany, NY","Washington, DC (Metropolitan Area)",325,443.4782609,179.5543627,WN,0.504166667,168.3438989,WN,0.504166667,168.3438989,-1,,
2018,4,"30,257",30977,"Albany, NY","Chicago, IL",723,308.4782609,255.6335447,UA,0.463354475,254.1831179,WN,0.272727273,241.5602067,-1,,
2018,4,"30,257",31454,"Albany, NY","Orlando, FL",1073,719.1304348,167.2372884,WN,0.546100363,176.2601439,B6,0.319830713,163.2667297,-1,,
2018,4,"30,257",32467,"Albany, NY","Miami, FL (Metropolitan Area)",1225,399.5652174,194.1723069,B6,0.559303591,185.6335117,B6,0.559303591,185.6335117,-1,,
2018,4,"30,257",32575,"Albany, NY","Los Angeles, CA (Metropolitan Area)",2468,231.7391304,335.2126642,UA,0.337242026,305.1129346,WN,0.319418386,298.0810573,-1,,
2018,4,"30,257",33195,"Albany, NY","Tampa, FL (Metropolitan Area)",1138,325.326087,199.5513532,WN,0.749749415,200.8298128,G4,0.082191781,100.7845528,-1,,
2018,4,"30,279",30194,"Amarillo, TX","Dallas/Fort Worth, TX",323,315.5434783,180.7978298,WN,0.592490527,165.8440698,WN,0.592490527,165.8440698,-1,,
2018,4,"30,279",31453,"Amarillo, TX","Houston, TX",537,199.5652174,186.0246187,UA,0.470043573,196.1588644,WN,0.459694989,171.3501185,-1,,
2018,4,"30,325",30198,"Denver, CO","Pittsburgh, PA",1290,605.4347826,224.4798025,UA,0.461400359,260.7960311,F9,0.139317774,90.21623711,-1,,
2018,4,"30,325",30436,"Denver, CO","Tucson, AZ",639,455.4347826,194.2317422,WN,0.504057279,189.8499053,WN,0.504057279,189.8499053,-1,,
2018,4,"30,325",30466,"Denver, CO","Phoenix, AZ",602,"3,394.565217",155.2752354,WN,0.547070125,158.50518,AA,0.203170029,149.7884476,-1,,
2018,4,"30,325",30529,"Denver, CO","Hartford, CT",1671,337.3913043,289.1798325,WN,0.476804124,265.5197297,WN,0.476804124,265.5197297,-1,,
2018,4,"30,325",30559,"Denver, CO","Seattle, WA",1024,"2,317.717391",166.1624209,AS,0.286685738,170.5814003,DL,0.205834076,156.1536569,-1,,
2018,4,"30,325",30693,"Denver, CO","Nashville, TN",1014,975,194.9018395,WN,0.649832776,194.4730314,F9,0.130992196,90.224,-1,,
2018,4,"30,325",30852,"Denver, CO","Washington, DC (Metropolitan Area)",1491,"3,431.413043",223.2933954,UA,0.372010517,288.7540531,F9,0.214609269,109.9010185,-1,,
2018,4,"30,325",31123,"Denver, CO","St. Louis, MO",770,"1,011.73913",168.9053073,WN,0.751074345,172.8789301,F9,0.12054147,95.69197861,-1,,
2018,4,"30,325",31136,"Denver, CO","Jacksonville, FL",1447,450.4347826,213.3467423,WN,0.353281853,229.0001366,F9,0.236486486,97.12295918,-1,,
2018,4,"30,325",31295,"Denver, CO","Detroit, MI",1123,"1,185.434783",178.3343572,DL,0.457546305,199.8326854,WN,0.223088208,159.7377723,-1,,
2018,4,"30,325",31423,"Denver, CO","Des Moines, IA",589,223.6956522,199.6474247,UA,0.638483965,245.7267123,F9,0.29154519,87.88083333,-1,,
